id	url	title	content	date	images
art001	https://www.presidencia.pt/atualidade/toda-a-atualidade/2023/12/comemoracoes-do-1-o-de-dezembro-dia-da-restauracao-da-independencia/	Comemorações do 1.º de Dezembro - Dia da Restauração da Independência	O Presidente da República depositou uma coroa de flores junto ao Monumento aos Restauradores, em Lisboa, durante a Cerimónia de Homenagem aos Heróis da Restauração, promovida pela Câmara Municipal de Lisboa e pela Sociedade Histórica da Independência de Portugal. Após a cerimónia, o Chefe de Estado visitou a exposição “Portugal - 900 anos”, no Palácio da Independência.	2023-12-01	img00001,img00002,img00003,img00004,img00005,img00006,img00007,img00008,img00009,img00010,img00011,img00012
art002	https://www.presidencia.pt/atualidade/toda-a-atualidade/2023/11/conselho-nacional-das-ordens-profissionais-recebido-em-belem/	Conselho Nacional das Ordens Profissionais recebido em Belém	O Presidente da República recebeu, em audiência no Palácio de Belém, o Conselho Nacional das Ordens Profissionais (CNOP), no âmbito dos Decretos da Assembleia da República que alteram os estatutos de associações públicas profissionais.	2023-11-30	img00013,img00014
art003	https://www.presidencia.pt/atualidade/toda-a-atualidade/2023/11/presidente-da-republica-recebeu-o-partido-socialista-197296/	Presidente da República recebeu o Partido Socialista	No âmbito da situação política na Região Autónoma dos Açores em sequência da não aprovação do Orçamento para 2024, incluindo, designadamente, sobre a matéria constante do disposto na alínea j) do artigo 133.º da Constituição da República Portuguesa, o Presidente da República recebeu, no Palácio de Belém, uma delegação do Partido Socialista (PS). Estiveram presentes na audiência Vasco Cordeiro, Presidente do PS/Açores, e Marta Matos, Dirigente Regional do PS/Açores.	2023-11-30	img00015,img00016
art004	https://www.presidencia.pt/atualidade/toda-a-atualidade/2023/11/presidente-da-republica-recebeu-o-partido-social-democrata-197291/	Presidente da República recebeu o Partido Social Democrata	No âmbito da situação política na Região Autónoma dos Açores em sequência da não aprovação do Orçamento para 2024, incluindo, designadamente, sobre a matéria constante do disposto na alínea j) do artigo 133.º da Constituição da República Portuguesa, o Presidente da República recebeu, no Palácio de Belém, uma delegação do Partido Social Democrata (PPD/PSD). Estiveram presentes na audiência José Manuel Bolieiro, Presidente do PSD/Açores, Luís Pereira, Secretário-Geral do PSD/Açores, e João Bruto da Costa, Presidente do Grupo Parlamentar do PSD/Açores.	2023-11-30	img00017,img00018
art005	https://www.presidencia.pt/atualidade/toda-a-atualidade/2023/11/presidente-da-republica-recebeu-o-cds-partido-popular/	Presidente da República recebeu o CDS - Partido Popular	No âmbito da situação política na Região Autónoma dos Açores em sequência da não aprovação do Orçamento para 2024, incluindo, designadamente, sobre a matéria constante do disposto na alínea j) do artigo 133.º da Constituição da República Portuguesa, o Presidente da República recebeu, no Palácio de Belém, uma delegação do CDS - Partido Popular (CDS-PP). Estiveram presentes na audiência Artur Lima, Presidente do CDS-PP/Açores, Alonso Miguel, Secretário-Geral do CDS-PP/Açores, e Brites Cunha, Vice-Presidente da Comissão Política do partido na Ilha Terceira.	2023-11-30	img00019,img00020
art006	https://www.presidencia.pt/atualidade/toda-a-atualidade/2023/11/presidente-da-republica-recebeu-o-bloco-de-esquerda-197281/	Presidente da República recebeu o Bloco de Esquerda	No âmbito da situação política na Região Autónoma dos Açores em sequência da não aprovação do Orçamento para 2024, incluindo, designadamente, sobre a matéria constante do disposto na alínea j) do artigo 133.º da Constituição da República Portuguesa, o Presidente da República recebeu, no Palácio de Belém, uma delegação do Bloco de Esquerda (BE). Estiveram presentes na audiência António Lima, Coordenador Regional do BE/Açores, Pedro Filipe Soares, Membro do Secretariado e da Comissão Política Nacional do Bloco de Esquerda, e Andreia Galvão, Membro da Comissão Política Nacional do partido.	2023-11-30	img00021,img00022
art007	https://www.presidencia.pt/atualidade/toda-a-atualidade/2023/11/presidente-da-republica-recebeu-o-partido-popular-monarquico/	Presidente da República recebeu o Partido Popular Monárquico	No âmbito da situação política na Região Autónoma dos Açores em sequência da não aprovação do Orçamento para 2024, incluindo, designadamente, sobre a matéria constante do disposto na alínea j) do artigo 133.º da Constituição da República Portuguesa, o Presidente da República recebeu, no Palácio de Belém, uma delegação do Partido Popular Monárquico (PPM). Estiveram presentes na audiência Gonçalo da Câmara Pereira, Presidente do Partido Popular Monárquico, Paulo Estevão, Deputado e Presidente do Grupo Parlamentar do PPM/Açores, Gustavo Valadão Alves, Deputado do PPM/Açores, e Valdemar Almeida, Conselheiro Nacional do partido.	2023-11-30	img00023,img00024
art008	https://www.presidencia.pt/atualidade/toda-a-atualidade/2023/11/presidente-da-republica-recebeu-o-chega-197271/	Presidente da República recebeu o Chega	No âmbito da situação política na Região Autónoma dos Açores em sequência da não aprovação do Orçamento para 2024, incluindo, designadamente, sobre a matéria constante do disposto na alínea j) do artigo 133.º da Constituição da República Portuguesa, o Presidente da República recebeu, no Palácio de Belém, uma delegação do Chega (CH). Estiveram presentes na audiência José Pacheco e Francisco Lima, Presidente e Vice-Presidente do Chega/Açores, respetivamente.	2023-11-30	img00025,img00026
art009	https://www.presidencia.pt/atualidade/toda-a-atualidade/2023/11/presidente-da-republica-recebeu-a-iniciativa-liberal-197266/	Presidente da República recebeu a Iniciativa Liberal	No âmbito da situação política na Região Autónoma dos Açores em sequência da não aprovação do Orçamento para 2024, incluindo, designadamente, sobre a matéria constante do disposto na alínea j) do artigo 133.º da Constituição da República Portuguesa, o Presidente da República recebeu, no Palácio de Belém, uma delegação da Iniciativa Liberal (IL). Estiveram presentes na audiência Nuno Barata, Deputado Coordenador Local Núcleo Açores da Iniciativa Liberal, Luís Alves Quental, Vice-Coordenador Local Núcleo Açores da IL, e Alexandra Carvalho e Cunha, Adjunta do Deputado do partido na ALRAA.	2023-11-30	img00027,img00028
art010	https://www.presidencia.pt/atualidade/toda-a-atualidade/2023/11/presidente-da-republica-recebeu-o-pessoas-animais-natureza-197261/	Presidente da República recebeu o Pessoas-Animais-Natureza	No âmbito da situação política na Região Autónoma dos Açores em sequência da não aprovação do Orçamento para 2024, incluindo, designadamente, sobre a matéria constante do disposto na alínea j) do artigo 133.º da Constituição da República Portuguesa, o Presidente da República recebeu, no Palácio de Belém, uma delegação do Pessoas-Animais-Natureza (PAN). Estiveram presentes na audiência Pedro Neves, Deputado e Representante do PAN/Açores, e Maria Chaves Martins, Chefe de Gabinete do Representante do PAN/Açores.	2023-11-30	img00029,img00030
art011	https://www.presidencia.pt/atualidade/toda-a-atualidade/2023/11/presidente-da-republica-recebeu-o-deputado-independente-na-alraa-carlos-furtado/	Presidente da República recebeu o Deputado Independente na ALRAA Carlos Furtado	O Presidente da República recebeu, em audiência no Palácio de Belém, o Deputado Independente na Assembleia Legislativa da Região Autónoma dos Açores, Carlos Furtado.	2023-11-30	img00031,img00032
art012	https://www.presidencia.pt/atualidade/toda-a-atualidade/2023/11/presidente-da-republica-agraciou-herman-jose/	Presidente da República agraciou Herman José	O Presidente da República condecorou, no Palácio de Belém, Herman José, pelos seus 50 anos de carreira, com o grau de Grande-Oficial da Ordem do Infante D. Henrique.	2023-11-28	img00033,img00034,img00035,img00036,img00037,img00038,img00039,img00040,img00041,img00042
art013	https://www.presidencia.pt/atualidade/toda-a-atualidade/2023/11/presidente-da-republica-recebeu-credenciais-de-novos-embaixadores-em-portugal/	Presidente da República recebeu credenciais de novos Embaixadores em Portugal	O Presidente da República recebeu, em cerimónia no Palácio de Belém, as cartas credenciais de novos Embaixadores em Portugal. Entregaram as suas credenciais a Embaixadora da Noruega, Hanne Brusletto, o Embaixador das Filipinas, Paul Raumund P. Cortes, o Embaixador da Tunísia, Naoufel Hdia, e a Embaixadora Não-Residente do Principado de Andorra, Eva Decarrega García.	2023-11-28	img00043,img00044,img00045,img00046,img00047,img00048,img00049,img00050,img00051,img00052,img00053,img00054
art014	https://www.presidencia.pt/atualidade/toda-a-atualidade/2023/11/reinhold-wurth-agraciado-no-palacio-de-belem/	Reinhold Würth agraciado no Palácio de Belém	O Presidente da República condecorou ontem, no Palácio de Belém, Reinhold Würth com o grau de Grã-Cruz da Ordem do Mérito.	2023-11-24	img00055,img00056,img00057,img00058
art015	https://www.presidencia.pt/atualidade/toda-a-atualidade/2023/11/condecoracao-de-elisio-summavielle-no-palacio-de-belem/	Condecoração de Elísio Summavielle no Palácio de Belém	O Presidente da República condecorou ontem, no Palácio de Belém, Elísio Summavielle com o grau de Grande-Oficial da Ordem do Infante D. Henrique.	2023-11-24	img00059,img00060,img00061,img00062
art016	https://www.presidencia.pt/atualidade/toda-a-atualidade/2023/11/condecoracao-de-vasco-vieira-de-almeida-no-palacio-de-belem/	Condecoração de Vasco Vieira de Almeida no Palácio de Belém	O Presidente da República condecorou, no Palácio de Belém, Vasco Alexandre Vieira de Almeida com o grau de Grã-Cruz da Ordem da Liberdade.	2023-11-23	img00063,img00064,img00065,img00066,img00067,img00068
art017	https://www.presidencia.pt/atualidade/toda-a-atualidade/2023/11/presidente-da-republica-com-conselho-nacional-de-criancas-e-jovens/	Presidente da República com Conselho Nacional de Crianças e Jovens	No âmbito do 34.º aniversário da Convenção sobre os Direitos da Criança, assinalado a 20 de novembro, o Presidente da República recebeu, em audiência no Palácio de Belém, um grupo de crianças e jovens do Conselho Nacional de Crianças e Jovens (CNCJ). O CNCJ é uma iniciativa da Comissão Nacional de Promoção dos Direitos e Proteção de Crianças e Jovens, lançado em 2019, na presença do Presidente da República.	2023-11-22	img00069,img00070,img00071,img00072,img00073,img00074,img00075,img00076,img00077,img00078,img00079,img00080,img00081
art018	https://www.presidencia.pt/atualidade/toda-a-atualidade/2023/11/comemoracoes-do-cinquentenario-da-independencia-da-guine-bissau/	Comemorações do Cinquentenário da Independência da Guiné-Bissau	O Presidente da República participou, juntamente com o Primeiro-Ministro, nas comemorações do Cinquentenário da Independência da Guiné-Bissau, que se realizaram na Avenida Amílcar Cabral em Bissau, no âmbito das quais foi inaugurada a Rua Presidente Marcelo Rebelo de Sousa. Após o discurso solene do Presidente da República da Guiné-Bissau, Umaro Sissoco Embaló, teve lugar o desfile cívico-militar. No final da cerimónia, o Presidente da República foi convidado pelo seu homólogo guineense a, juntamente com o Primeiro-Ministro, inaugurar e visitar a exposição sobre Amílcar Cabral, organizada pela Comissão Comemorativa dos 50 Anos do 25 de abril, patente no Palácio Presidencial. Seguiu-se um almoço oferecido pelo Presidente Umaro Sissoco Embaló em honra dos Chefes de Estado e de Governo presentes nas comemorações do Cinquentenário da Independência da Guiné-Bissau, no Palácio Presidencial.	2023-11-16	img00082,img00083,img00084,img00085,img00086,img00087,img00088,img00089,img00090,img00091,img00092,img00093,img00094
art019	https://www.presidencia.pt/atualidade/toda-a-atualidade/2023/11/jantar-oferecido-pelo-presidente-da-republica-da-guine-bissau-por-ocasiao-das-comemoracoes-do-cinquentenario-da-independencia-da-guine-bissau/	Jantar oferecido pelo Presidente da República da Guiné-Bissau por ocasião das comemorações do cinquentenário da independência da Guiné-Bissau	Na véspera da realização das comemorações do cinquentenário da independência da Guiné-Bissau, o Presidente da República, juntamente com o Primeiro-Ministro, participou no jantar oficial de boas-vindas oferecido pelo Presidente da República da Guiné-Bissau, Umaro Sissoco Embaló, no Hotel Hala em Bissau.	2023-11-15	img00095,img00096,img00097,img00098,img00099,img00100,img00101,img00102,img00103,img00104,img00105,img00106,img00107
art020	https://www.presidencia.pt/atualidade/toda-a-atualidade/2023/11/presidente-da-republica-deu-posse-ao-secretario-de-estado-adjunto-e-das-infraestruturas/	Presidente da República deu posse ao Secretário de Estado Adjunto e das Infraestruturas	Ao início da tarde, o Presidente da República conferiu posse, no Palácio de Belém, ao Secretário de Estado Adjunto e das Infraestruturas do XXIII Governo Constitucional, Frederico André Branco dos Reis Francisco.	2023-11-15	img00108,img00109,img00110,img00111,img00112
